Time (s),Current (A),Shaft Speed (rpm),Shaft Angle (deg),Position (deg)
2.834872007369995,1.0799999237060547,96.0,26054.41015625,26026.807941125604
2.8382866382598877,0.3999999761581421,95.0,26054.740234375,26026.807941125604
2.8418312072753906,0.4399999976158142,92.0,26055.05859375,26026.807941125604
2.845242500305176,1.0699999332427979,89.0,26055.359375,26026.807941125604
2.8486766815185547,0.429999977350235,89.0,26055.669921875,26024.573160725955
2.8532297611236572,1.5499999523162842,85.0,26056.05859375,26024.573160725955
2.8568062782287598,0.17999999225139618,86.0,26056.349609375,26024.573160725955
2.860283136367798,-0.38999998569488525,84.0,26056.66015625,26024.573160725955
2.8638510704040527,-0.17999999225139618,82.0,26056.919921875,26024.573160725955
2.867438554763794,0.6200000047683716,79.0,26057.208984375,26022.121259531574
2.8721392154693604,0.29999998211860657,78.0,26057.55859375,26022.121259531574
2.875732183456421,1.0299999713897705,75.0,26057.8203125,26022.121259531574
2.8792026042938232,-0.3499999940395355,75.0,26058.048828125,26022.121259531574
2.882776975631714,0.019999999552965164,72.0,26058.2890625,26022.121259531574
2.8862946033477783,0.6599999666213989,69.0,26058.509765625,26019.488534736276
2.890947103500366,0.5999999642372131,66.0,26058.798828125,26019.488534736276
2.8944578170776367,0.14999999105930328,65.0,26059.029296875,26019.488534736276
2.8978357315063477,0.04999999701976776,63.0,26059.21875,26019.488534736276
2.901315450668335,0.8399999737739563,60.0,26059.419921875,26019.488534736276
2.904869318008423,-0.29999998211860657,60.0,26059.619140625,26016.738009038938
2.9093716144561768,0.26999998092651367,57.0,26059.869140625,26016.738009038938
2.912917375564575,0.20999999344348907,55.0,26060.0390625,26016.738009038938
2.916388750076294,-0.29999998211860657,55.0,26060.208984375,26016.738009038938
2.9199252128601074,0.019999999552965164,52.0,26060.37890625,26016.738009038938
2.9234213829040527,-0.5,51.0,26060.5390625,26013.843694114836
2.9279682636260986,0.3499999940395355,47.0,26060.759765625,26013.843694114836
2.931577205657959,-0.2800000011920929,46.0,26060.91015625,26013.843694114836
2.935135841369629,0.10999999940395355,44.0,26061.048828125,26013.843694114836
2.938713312149048,-0.47999998927116394,43.0,26061.189453125,26013.843694114836
2.942218065261841,-0.2199999988079071,40.0,26061.330078125,26010.77033352427
2.946718454360962,0.25999999046325684,36.0,26061.478515625,26010.77033352427
2.95013165473938,-0.1599999964237213,35.0,26061.580078125,26010.77033352427
2.953693151473999,0.04999999701976776,33.0,26061.69921875,26010.77033352427
2.95709228515625,0.25999999046325684,31.0,26061.798828125,26010.77033352427
2.9606165885925293,-0.32999998331069946,29.0,26061.900390625,26007.63399948637
2.965059280395508,-0.20999999344348907,26.0,26062.009765625,26007.63399948637
2.968628168106079,-0.14999999105930328,24.0,26062.080078125,26007.63399948637
2.9721803665161133,-0.7099999785423279,22.0,26062.16015625,26007.63399948637
2.9757497310638428,-0.04999999701976776,19.0,26062.21875,26007.63399948637
2.9791243076324463,0.5899999737739563,17.0,26062.26953125,26004.360842072976
2.9835307598114014,-0.3499999940395355,16.0,26062.33984375,26004.360842072976
2.9870107173919678,-0.32999998331069946,13.0,26062.388671875,26004.360842072976
2.9905123710632324,-0.07000000029802322,11.0,26062.419921875,26004.360842072976
2.993971347808838,-0.4699999988079071,10.0,26062.44921875,26004.360842072976
2.9974472522735596,-0.4899999797344208,7.0,26062.46875,26001.01335605196
3.0021393299102783,-0.19999998807907104,4.0,26062.5,26001.01335605196
3.005821943283081,-0.25999999046325684,2.0,26062.509765625,26001.01335605196
3.0093910694122314,-0.35999998450279236,0.0,26062.509765625,26001.01335605196
3.0129923820495605,-0.8299999833106995,0.0,26062.509765625,26001.01335605196
3.0165863037109375,-1.5699999332427979,-2.0,26062.509765625,25997.413967679833
3.021211862564087,-0.5799999833106995,-5.0,26062.478515625,25997.413967679833
3.024778366088867,-1.6899999380111694,-6.0,26062.46875,25997.413967679833
3.0282349586486816,-1.8600000143051147,-8.0,26062.4296875,25997.413967679833
3.0317203998565674,-1.8299999237060547,-10.0,26062.400390625,25997.413967679833
3.0352041721343994,-1.6100000143051147,-13.0,26062.359375,25993.82280763998
3.039651870727539,-1.1299999952316284,-15.0,26062.259765625,25993.82280763998
3.0431647300720215,-2.259999990463257,-16.0,26062.208984375,25993.82280763998
3.0466203689575195,-1.5299999713897705,-19.0,26062.138671875,25993.82280763998
3.050060987472534,-1.25,-22.0,26062.080078125,25993.82280763998
3.053529977798462,-2.559999942779541,-22.0,26062.009765625,25990.21237406741
3.0579981803894043,-1.3600000143051147,-26.0,26061.869140625,25990.21237406741
3.0615289211273193,-1.209999918937683,-28.0,26061.76953125,25990.21237406741
3.065016508102417,-1.959999918937683,-29.0,26061.669921875,25990.21237406741
3.0686874389648438,-1.9499999284744263,-32.0,26061.5703125,25990.21237406741
3.0722763538360596,-1.4499999284744263,-35.0,26061.44921875,25986.45278644608
3.076765298843384,-2.309999942779541,-36.0,26061.2890625,25986.45278644608
3.0803136825561523,-1.5999999046325684,-39.0,26061.150390625,25986.45278644608
3.0839016437530518,-1.6200000047683716,-42.0,26061.009765625,25986.45278644608
3.087418556213379,-2.559999942779541,-43.0,26060.849609375,25986.45278644608
3.0910065174102783,-0.7299999594688416,-47.0,26060.689453125,25982.641149155006
3.09566068649292,-2.259999990463257,-48.0,26060.46875,25982.641149155006
3.099188804626465,-1.8799999952316284,-51.0,26060.3203125,25982.641149155006
3.102781295776367,-2.1399998664855957,-53.0,26060.119140625,25982.641149155006
3.106343984603882,-1.3899999856948853,-56.0,26059.9296875,25982.641149155006
3.1099443435668945,-2.0799999237060547,-58.0,26059.740234375,25978.743207223597
3.114497661590576,-2.25,-59.0,26059.46875,25978.743207223597
3.1180009841918945,-2.5999999046325684,-61.0,26059.279296875,25978.743207223597
3.121560573577881,-2.25,-64.0,26059.048828125,25978.743207223597
3.12511944770813,-2.2100000381469727,-66.0,26058.80859375,25978.743207223597
3.128608226776123,-2.190000057220459,-68.0,26058.58984375,25974.870395959068
3.1331067085266113,-1.059999942779541,-71.0,26058.2890625,25974.870395959068
3.1366324424743652,-2.3899998664855957,-72.0,26058.05859375,25974.870395959068
3.1402201652526855,-2.4800000190734863,-74.0,26057.798828125,25974.870395959068
3.1437344551086426,-1.909999966621399,-77.0,26057.529296875,25974.870395959068
3.147172451019287,-1.6699999570846558,-79.0,26057.26953125,25970.999439438157
3.1517205238342285,-1.8399999141693115,-82.0,26056.919921875,25970.999439438157
3.1552250385284424,-1.7799999713897705,-84.0,26056.619140625,25970.999439438157
3.1588058471679688,-1.9900000095367432,-86.0,26056.3203125,25970.999439438157
3.16226863861084,-2.549999952316284,-87.0,26056.01953125,25970.999439438157
3.16585373878479,-3.3899998664855957,-88.0,26055.69921875,25967.097159841655
3.170381546020508,-2.8399999141693115,-92.0,26055.25,25967.097159841655
3.1739284992218018,-3.2200000286102295,-94.0,26054.919921875,25967.097159841655
3.177499771118164,-2.4700000286102295,-97.0,26054.580078125,25967.097159841655
3.1810338497161865,-2.190000057220459,-99.0,26054.208984375,25967.097159841655
3.184645891189575,-2.919999837875366,-100.0,26053.830078125,25963.1769593192
3.1892688274383545,-1.8899999856948853,-105.0,26053.330078125,25963.1769593192
3.192854642868042,-2.0,-106.0,26052.888671875,25963.1769593192
3.1965034008026123,-1.5099999904632568,-109.0,26052.46875,25963.1769593192
3.2001843452453613,-3.119999885559082,-109.0,26052.01953125,25963.1769593192
3.2038638591766357,-2.299999952316284,-111.0,26051.5703125,25959.186183883725
3.2085022926330566,-2.700000047683716,-113.0,26051.01953125,25959.186183883725
3.2121989727020264,-2.2200000286102295,-116.0,26050.51953125,25959.186183883725
3.2158780097961426,-1.9799998998641968,-117.0,26050.05859375,25959.186183883725
3.2194666862487793,-1.8399999141693115,-119.0,26049.58984375,25959.186183883725
3.2230124473571777,-2.440000057220459,-120.0,26049.109375,25955.241115820212
3.2275991439819336,-1.46999990940094,-124.0,26048.478515625,25955.241115820212
3.231175184249878,-3.009999990463257,-123.0,26047.978515625,25955.241115820212
3.234658718109131,-2.359999895095825,-126.0,26047.490234375,25955.241115820212
3.2381768226623535,-2.809999942779541,-127.0,26047.0,25955.241115820212
3.2417657375335693,-2.4600000381469727,-129.0,26046.5,25951.42018628571
3.246260166168213,-2.2799999713897705,-132.0,26045.849609375,25951.42018628571
3.249786376953125,-2.5899999141693115,-133.0,26045.330078125,25951.42018628571
3.253298759460449,-1.9199999570846558,-135.0,26044.80859375,25951.42018628571
3.2568936347961426,-2.429999828338623,-136.0,26044.279296875,25951.42018628571
3.260404348373413,-2.5899999141693115,-138.0,26043.75,25947.67640472953
3.2649357318878174,-1.9499999284744263,-140.0,26043.0703125,25947.67640472953
3.268533229827881,-2.4700000286102295,-142.0,26042.509765625,25947.67640472953
3.2721047401428223,-2.7300000190734863,-143.0,26041.96875,25947.67640472953
3.2757349014282227,-2.919999837875366,-145.0,26041.419921875,25947.67640472953
3.279245376586914,-1.9799998998641968,-148.0,26040.859375,25943.958296874425
3.283756732940674,-2.4800000190734863,-149.0,26040.138671875,25943.958296874425
3.2872695922851562,-3.0999999046325684,-150.0,26039.609375,25943.958296874425
3.2908685207366943,-3.0,-153.0,26039.0390625,25943.958296874425
3.2944045066833496,-2.75,-154.0,26038.509765625,25943.958296874425
3.297931671142578,-2.690000057220459,-157.0,26037.94921875,25940.34813041254
3.302521228790283,-1.71999990940094,-161.0,26037.21875,25940.34813041254
3.306081533432007,-3.0899999141693115,-161.0,26036.638671875,25940.34813041254
3.3097267150878906,-3.3399999141693115,-163.0,26036.05859375,25940.34813041254
3.313181161880493,-3.3299999237060547,-166.0,26035.5390625,25940.34813041254
3.3166632652282715,-3.259999990463257,-169.0,26034.958984375,25936.817886579094
3.321218252182007,-3.3899998664855957,-172.0,26034.228515625,25936.817886579094
3.3248417377471924,-2.799999952316284,-175.0,26033.638671875,25936.817886579094
3.328320026397705,-3.2899999618530273,-176.0,26033.0390625,25936.817886579094
3.3318355083465576,-3.259999990463257,-179.0,26032.458984375,25936.817886579094
3.335317373275757,-3.369999885559082,-182.0,26031.859375,25933.40141594558
3.339916467666626,-3.6399998664855957,-185.0,26031.048828125,25933.40141594558
3.3434011936187744,-2.169999837875366,-188.0,26030.4296875,25933.40141594558
3.3469269275665283,-3.0,-190.0,26029.759765625,25933.40141594558
3.350438117980957,-3.8299999237060547,-192.0,26029.119140625,25933.40141594558
3.354074239730835,-3.3399999141693115,-195.0,26028.4296875,25930.076617389408
3.358741283416748,-3.069999933242798,-197.0,26027.548828125,25930.076617389408
3.362177610397339,-2.5299999713897705,-200.0,26026.87890625,25930.076617389408
3.365729570388794,-3.119999885559082,-202.0,26026.189453125,25930.076617389408
3.369251012802124,-3.069999933242798,-204.0,26025.490234375,25930.076617389408
3.3728296756744385,-2.129999876022339,-206.0,26024.779296875,25926.873250830515
3.3773443698883057,-0.8899999856948853,-206.0,26023.888671875,25926.873250830515
3.380861759185791,-2.0899999141693115,-205.0,26023.1796875,25926.873250830515
3.384506940841675,-3.1399998664855957,-204.0,26022.439453125,25926.873250830515
3.3881027698516846,-2.509999990463257,-205.0,26021.71875,25926.873250830515
3.391766309738159,-1.6699999570846558,-206.0,26020.990234375,25923.77208411245
3.3964195251464844,-1.8299999237060547,-206.0,26020.048828125,25923.77208411245
3.4000866413116455,-2.7699999809265137,-204.0,26019.2890625,25923.77208411245
3.403808832168579,-2.319999933242798,-205.0,26018.548828125,25923.77208411245
3.4074790477752686,-2.009999990463257,-205.0,26017.830078125,25923.77208411245
3.4111404418945312,-1.1200000047683716,-206.0,26017.08984375,25920.74802155466
3.4158318042755127,-1.8799999952316284,-204.0,26016.169921875,25920.74802155466
3.419344425201416,-2.690000057220459,-204.0,26015.44921875,25920.74802155466
3.4229133129119873,-2.190000057220459,-205.0,26014.75,25920.74802155466
3.4264936447143555,-1.7799999713897705,-206.0,26014.0390625,25920.74802155466
3.430137872695923,-1.3799999952316284,-206.0,26013.298828125,25917.9385251191
3.434753894805908,-2.690000057220459,-204.0,26012.41015625,25917.9385251191
3.4382927417755127,-2.7699999809265137,-205.0,26011.6796875,25917.9385251191
3.441943407058716,-1.7999999523162842,-205.0,26010.958984375,25917.9385251191
3.4454920291900635,-1.3600000143051147,-205.0,26010.259765625,25917.9385251191
3.449024200439453,-1.899999976158142,-206.0,26009.548828125,25915.30734267588
3.4536540508270264,-3.0199999809265137,-205.0,26008.62890625,25915.30734267588
3.457218885421753,-2.679999828338623,-205.0,26007.939453125,25915.30734267588
3.46079158782959,-2.069999933242798,-206.0,26007.259765625,25915.30734267588
3.464245319366455,-1.5399999618530273,-205.0,26006.55859375,25915.30734267588
3.467867136001587,-1.7599999904632568,-204.0,26005.859375,25912.851397820283
3.47237491607666,-2.440000057220459,-205.0,26004.94921875,25912.851397820283
3.4759700298309326,-2.299999952316284,-206.0,26004.240234375,25912.851397820283
3.4794158935546875,-1.5099999904632568,-206.0,26003.599609375,25912.851397820283
3.4828786849975586,-1.709999918937683,-206.0,26002.900390625,25912.851397820283
3.486299514770508,-2.309999942779541,-205.0,26002.259765625,25910.619946151724
3.4908525943756104,-2.129999876022339,-205.0,26001.330078125,25910.619946151724
3.4942867755889893,-1.7400000095367432,-206.0,26000.62890625,25910.619946151724
3.497736930847168,-1.1999999284744263,-206.0,25999.9296875,25910.619946151724
